Time_s,ReferenceSignal,UncompensatedResponse,CompensatedResponse,UncompensatedControl,CompensatedControl
1.007,0.0166855574630059,-0.029060722502757,0.00341252400047838,0.0228731399828815,0.00711878126346621
1.008,0.0315829972395824,-0.0217055346921133,0.00208631456039637,0.0266442659658479,0.0175595014670175
1.009,0.0221270946490037,-0.0143835431686617,-0.0126254480661137,0.0182553189088327,0.0135883756968399
1.01,0.0299900913006201,-0.00510931624604602,-0.0115476418264073,0.0175497037733331,0.0285404728361667
1.011,0.0524517223397981,-0.00850656408994662,-0.00653911260854154,0.0304791432148724,0.0441263081310708
1.012,0.0455670999257319,0.00807121785235748,-0.0053727106181258,0.0187479410366872,0.0364539459266371
1.013,0.0329161845265176,-0.00453173274944487,-0.00267055878394097,0.0187239586379812,0.0264573336370618
1.014,0.0439613150418176,-0.00382913493782251,-0.00772533332261309,0.0238952249898201,0.0316370109764501
1.015,0.02987521762558,-0.00524892276644994,-0.0126157236927396,0.017562070196015,0.025366351445414
1.016,0.0486358159246704,-0.00756445720491305,-0.00728484185404112,0.0281001365647917,0.0426063221127155
1.017,0.0601290927649111,-0.00405350642760325,-0.00836047555943313,0.0320912995962572,0.0468209150112834
1.018,0.0646465639389401,-0.00934323576393094,-0.0203619408828402,0.0369948998514355,0.0504022008803287
1.019,0.0513830880462306,-0.0141391379701577,-0.0321493528128015,0.0327611130081942,0.0486604148111702
1.02,0.0752329159180438,-0.0067957179194049,-0.0210187120938606,0.0410143169187243,0.0744080955150974
1.021,0.0675476443999673,0.00493840360236614,-0.00706912983707106,0.0313046203988006,0.060063000619399
1.022,0.0667755156246733,0.00294486002472896,-0.00945845380651212,0.0319153277999722,0.0508453956418286
1.023,0.0720483975324593,0.014553384346301,-0.00495995828230962,0.0287475065930792,0.0555789157255558
1.024,0.0805545944042566,0.0126302478934981,-0.000533758666051799,0.0339621732553792,0.0586204673457465
1.025,0.0791675384322568,0.00867030350350247,0.0039131093867762,0.0352486174643772,0.0543222377709168
1.026,0.0807626715251573,0.0114053862591088,0.0142603017265768,0.0346786426330243,0.0525131766337765
1.027,0.084618429440193,0.0186955191498327,0.009248908550693,0.0329614551451802,0.0492514511627194
1.028,0.0733454721701114,0.0250641596255516,0.0136396527755393,0.0241406562722799,0.0440009463717509
1.029,0.105881293243026,0.0215379061944646,0.0118070375989932,0.0421716935242805,0.0641156555235327
1.03,0.0946307827569303,0.0111642449718034,0.0127872167901217,0.0417332688925635,0.0564599456900991
1.031,0.0890230160910148,0.0224899396322194,0.028421088983881,0.0332665382293977,0.0508369686283124
1.032,0.107740661151958,0.0163691741114912,0.030382137055753,0.0456857435202334,0.0540333926215292
1.033,0.112666660167179,0.0260986070092953,0.0427530226707436,0.0432840265789421,0.0568443264156831
1.034,0.123798371774864,0.00728466131062283,0.0446997360804931,0.0582568552321206,0.056044290896932
1.035,0.104398085231685,0.00420053759056578,0.0308825184853286,0.0500987738205595,0.0415867400176879
1.036,0.0946712216701692,0.00652646245175608,0.0322321115014643,0.0440723796092065,0.042832033017095
1.037,0.115457170156033,-0.00537791568316808,0.0248629087161305,0.0604175429196005,0.056200315487741
1.038,0.0981859415374391,-0.00429384654807709,0.0366708525112549,0.0512398940427581,0.0487820829579243
1.039,0.131568357857444,0.00249892491463346,0.0383396421200744,0.064534716471405,0.0643964795091107
1.04,0.114714354097825,0.0202642053553019,0.0498078161385471,0.0472250743712618,0.0497613339959366
1.041,0.120292149746379,0.0302993246201953,0.0570009151746537,0.044996412563092,0.0469833743246242
1.042,0.126585179948144,0.0331927641967231,0.0605706801276709,0.0466962078757106,0.0472118744917918
1.043,0.13017704173434,0.0432178852494737,0.069432074286752,0.0434795782424331,0.0470297835553331
1.044,0.152746922662449,0.0539171044996937,0.0764392130709505,0.0494149090813779,0.0567187970394294
1.045,0.137285118264722,0.0497095123101148,0.06755956223779,0.0437878029773037,0.0415132573428656
1.046,0.126734537697548,0.058199402865213,0.0689858958365919,0.0342675674161677,0.0401673453223338
1.047,0.142377745753126,0.0592525516606529,0.0645445494970868,0.0415625970462367,0.0503854752241977
1.048,0.148944436837805,0.0532489127266394,0.0613141919408225,0.0478477620555828,0.0582941001397479
1.049,0.136614192082743,0.0592521766925407,0.0797381966336663,0.0386810076951014,0.0504682766092855
1.05,0.156231689111965,0.0609705628808587,0.0802249350408084,0.0476305631155532,0.0524338579608004
1.051,0.158522356455779,0.0493719954877499,0.0714286375809478,0.0545751804840148,0.0540896534162499
1.052,0.163737313040722,0.0514793111813882,0.0665744420829307,0.0561290009296668,0.0633886948751611
1.053,0.190953731249814,0.0537037899957804,0.0960400688825603,0.0686249706270168,0.0854871763567457
